hwjcknre2020-05-25/16:07:26		log_message
2020-06-02/01:11:40		Good_Data folder deleted!!!
2020-06-02/01:11:40		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/01:11:40		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/01:11:40		Validation Operation completed!!
2020-06-02/01:11:40		Extracting csv file from table
2020-06-02/01:17:27		Start of Validation on files for Training
2020-06-02/01:17:30		Raw Data Validation Complete!!
2020-06-02/01:17:30		Starting Data Transforamtion!!
2020-06-02/01:17:31		DataTransformation Completed!!!
2020-06-02/01:17:31		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/01:17:31		Table creation Completed!!
2020-06-02/01:17:31		Insertion of Data into Table started!!!!
2020-06-02/01:17:34		Insertion in Table completed!!!
2020-06-02/01:17:34		Deleting Good Data Folder!!!
2020-06-02/01:17:34		Good_Data folder deleted!!!
2020-06-02/01:17:34		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/01:17:34		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/01:17:34		Validation Operation completed!!
2020-06-02/01:17:34		Extracting csv file from table
2020-06-02/01:18:42		Start of Validation on files for Training
2020-06-02/01:18:43		Raw Data Validation Complete!!
2020-06-02/01:18:43		Starting Data Transforamtion!!
2020-06-02/01:18:45		DataTransformation Completed!!!
2020-06-02/01:18:45		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/01:18:45		Table creation Completed!!
2020-06-02/01:18:45		Insertion of Data into Table started!!!!
2020-06-02/01:18:50		Insertion in Table completed!!!
2020-06-02/01:18:50		Deleting Good Data Folder!!!
2020-06-02/01:18:50		Good_Data folder deleted!!!
2020-06-02/01:18:50		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/01:18:50		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/01:18:50		Validation Operation completed!!
2020-06-02/01:18:50		Extracting csv file from table
2020-06-02/01:34:56		Start of Validation on files for Training
2020-06-02/01:34:58		Raw Data Validation Complete!!
2020-06-02/01:34:58		Starting Data Transforamtion!!
2020-06-02/01:35:00		DataTransformation Completed!!!
2020-06-02/01:35:00		Creating Training_Database and tables on the basis of given schema!!!
2020-06-02/01:35:00		Table creation Completed!!
2020-06-02/01:35:00		Insertion of Data into Table started!!!!
2020-06-02/01:35:02		Insertion in Table completed!!!
2020-06-02/01:35:02		Deleting Good Data Folder!!!
2020-06-02/01:35:02		Good_Data folder deleted!!!
2020-06-02/01:35:02		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-06-02/01:35:02		Bad files moved to archive!! Bad folder Deleted!!
2020-06-02/01:35:02		Validation Operation completed!!
2020-06-02/01:35:02		Extracting csv file from table
2020-06-02/01:38:41		Start of Validation on files for Training
2020-06-02/01:38:42		Raw Data Validation Complete!!
2020-06-02/01:38:42		Starting Data Transforamtion!!
2020-06-02/01:38:44		DataTransformation Completed!!!
2020-06-02/01:38:44		Creating Training_Database and tables on the basis of given schema!!!
